date,gender_label,liczba_przejazdow,temperatura,opady,wiatr,wilgotnosc
2018-08-28,Mężczyźni,1198,29.41235392320534,0.0,10.897662771285475,69.50667779632721
2018-08-28,Unknown,54,29.48148148148148,0.0,10.942592592592591,67.9074074074074
2018-08-29,Kobiety,319,29.304075235109718,0.0,12.201880877742948,70.3385579937304
2018-08-29,Mężczyźni,1198,29.51836393989983,0.0,12.135976627712854,69.42237061769616
2018-08-29,Unknown,77,30.16883116883117,0.0,12.727272727272727,66.7012987012987
2018-08-30,Kobiety,334,27.763473053892216,0.009580838323353293,11.535329341317366,68.86526946107784
2018-08-30,Mężczyźni,1160,27.773275862068967,0.006896551724137931,11.724396551724137,68.63362068965517
2018-08-30,Unknown,78,28.28205128205128,0.011538461538461539,11.014102564102565,65.7051282051282
2018-08-31,Kobiety,233,22.536480686695278,0.1497854077253219,17.212875536480688,79.80257510729614
2018-08-31,Mężczyźni,949,22.443624868282402,0.10895679662802951,16.940358271865122,80.22023182297156
2018-08-31,Unknown,79,22.189873417721518,0.11265822784810127,15.683544303797468,81.74683544303798
2018-09-01,Kobiety,230,22.57391304347826,0.018695652173913044,13.394347826086955,73.61304347826086
2018-09-01,Mężczyźni,552,22.494565217391305,0.016847826086956518,13.345471014492754,74.23188405797102
2018-09-01,Unknown,133,22.571428571428573,0.011278195488721804,14.696240601503758,73.75187969924812
2018-09-02,Kobiety,253,24.154150197628457,0.0,11.210671936758892,78.4505928853755
2018-09-02,Mężczyźni,566,24.291519434628974,0.0,12.314840989399293,78.5565371024735
2018-09-02,Unknown,171,24.53216374269006,0.0,13.045614035087718,77.42105263157895
2018-09-03,Kobiety,240,27.904166666666665,0.007083333333333334,9.576666666666666,80.9625
2018-09-03,Mężczyźni,619,27.764135702746366,0.009693053311793215,9.394184168012924,81.96445880452343
2018-09-03,Unknown,171,28.45614035087719,0.008771929824561403,11.236842105263158,78.78362573099415
2018-09-04,Kobiety,265,28.022641509433964,0.0,6.315849056603774,73.61509433962264
2018-09-04,Mężczyźni,1091,28.320806599450044,0.0,6.191567369385885,72.4051329055912
2018-09-04,Unknown,62,28.516129032258064,0.0,6.103225806451612,71.24193548387096
2018-09-05,Kobiety,328,26.591463414634145,0.0,10.657621951219511,83.02743902439025
2018-09-05,Mężczyźni,1219,26.52173913043478,0.0,10.6273174733388,83.28794093519278
2018-09-05,Unknown,76,26.82894736842105,0.0,12.242105263157894,80.65789473684211
2018-09-06,Kobiety,294,27.517006802721088,0.12755102040816327,12.006462585034013,82.89795918367346
2018-09-06,Mężczyźni,1100,27.306363636363635,0.10927272727272727,11.812272727272727,83.71545454545455
2018-09-06,Unknown,89,28.325842696629213,0.19775280898876407,11.115730337078652,78.9438202247191
2018-09-07,Kobiety,341,23.058651026392962,0.3486803519061583,13.419061583577712,88.42228739002933
2018-09-07,Mężczyźni,1181,23.00931414055885,0.37679932260795934,13.620321761219307,88.49280270956817
2018-09-07,Unknown,81,22.666666666666668,0.3395061728395062,13.122222222222224,88.74074074074075
2018-09-08,Kobiety,277,19.47292418772563,0.2667870036101083,17.186642599277977,74.73646209386281
2018-09-08,Mężczyźni,698,19.369627507163322,0.29140401146131806,16.672492836676216,75.71203438395415
2018-09-08,Unknown,103,19.436893203883496,0.25728155339805825,16.724271844660194,73.98058252427184
2018-09-09,Kobiety,84,15.369047619047619,0.9702380952380952,16.08809523809524,89.76190476190476
2018-09-09,Mężczyźni,271,15.464944649446494,0.9217712177121771,16.25387453874539,89.16236162361623
2018-09-09,Unknown,25,15.12,0.8959999999999999,16.252,89.64
2018-09-10,Kobiety,130,16.23076923076923,1.0415384615384615,21.49076923076923,93.5
2018-09-10,Mężczyźni,607,16.17957166392092,1.112191103789127,21.45485996705107,93.73805601317957
2018-09-10,Unknown,24,16.458333333333332,0.8958333333333334,22.02916666666667,93.95833333333333
2018-09-11,Kobiety,291,21.690721649484537,0.4652920962199313,5.937800687285224,90.86941580756013
2018-09-11,Mężczyźni,1161,21.515934539190354,0.4160206718346253,6.115590008613264,90.64168819982774
2018-09-11,Unknown,57,21.666666666666668,0.7929824561403509,5.703508771929825,91.6842105263158
2018-09-12,Kobiety,259,23.16988416988417,0.6015444015444016,6.036293436293436,93.26254826254826
2018-09-12,Mężczyźni,905,23.12596685082873,0.6893922651933702,5.830718232044199,93.4707182320442
2018-09-12,Unknown,48,23.4375,0.6083333333333333,5.470833333333332,92.14583333333333
2018-09-13,Kobiety,295,22.73898305084746,0.22271186440677967,13.813898305084745,88.04745762711865
2018-09-13,Mężczyźni,1170,22.661538461538463,0.19470085470085471,13.797692307692309,88.38205128205128
2018-09-13,Unknown,83,23.120481927710845,0.07349397590361445,14.302409638554217,86.25301204819277
2018-09-14,Kobiety,335,21.817910447761193,0.04746268656716418,11.771641791044775,83.3223880597015
2018-09-14,Mężczyźni,1141,21.63803680981595,0.03759859772129711,11.568624014022786,83.85539000876425
2018-09-14,Unknown,73,21.945205479452056,0.08082191780821918,11.620547945205479,83.54794520547945
2018-09-15,Kobiety,295,22.891525423728815,0.014576271186440677,6.284406779661017,80.71525423728814
2018-09-15,Mężczyźni,840,22.760714285714286,0.015476190476190477,6.156547619047619,81.3202380952381
2018-09-15,Unknown,136,22.801470588235293,0.011764705882352941,6.561029411764705,82.05882352941177
2018-09-16,Kobiety,321,23.713395638629283,0.0,7.641121495327103,81.16510903426791
2018-09-16,Mężczyźni,863,23.46002317497103,0.0,7.576245654692932,81.85283893395133
2018-09-16,Unknown,207,23.429951690821255,0.0,8.579710144927537,81.46376811594203
2018-09-17,Kobiety,330,22.418181818181818,0.2124242424242424,12.735151515151516,90.95454545454545
2018-09-17,Mężczyźni,1176,22.289115646258505,0.19931972789115646,12.42950680272109,91.24574829931973
2018-09-17,Unknown,49,22.285714285714285,0.1816326530612245,12.116326530612243,91.0204081632653
2018-09-18,Kobiety,269,22.765799256505577,1.2539033457249071,12.818959107806693,91.75092936802974
2018-09-18,Mężczyźni,988,22.866396761133604,1.365485829959514,13.356275303643725,91.62145748987854
2018-09-18,Unknown,51,22.705882352941178,1.076470588235294,11.468627450980392,91.6078431372549
2018-09-19,Kobiety,367,23.247956403269754,0.024795640326975475,11.822888283378747,77.75204359673025
2018-09-19,Mężczyźni,1234,22.956239870340358,0.02455429497568882,12.205105348460291,80.1645056726094
2018-09-19,Unknown,86,23.53488372093023,0.03255813953488372,12.780232558139534,77.05813953488372
2018-09-20,Kobiety,373,19.351206434316353,0.05683646112600536,8.646916890080428,79.54959785522789
2018-09-20,Mężczyźni,1180,19.33050847457627,0.05813559322033899,8.663813559322033,79.6135593220339
2018-09-20,Unknown,89,19.471910112359552,0.06853932584269663,8.711235955056178,79.01123595505618
2018-09-21,Kobiety,357,21.212885154061624,0.0,18.161344537815125,77.09803921568627
2018-09-21,Mężczyźni,1199,21.30275229357798,0.0,18.342452043369473,76.93077564637197
2018-09-21,Unknown,76,21.210526315789473,0.0,18.455263157894734,76.65789473684211
2018-09-22,Kobiety,296,20.06756756756757,0.00945945945945946,16.56722972972973,63.36824324324324
2018-09-22,Mężczyźni,829,19.958986731001207,0.013027744270205067,16.117249698431845,63.930036188178526
2018-09-22,Unknown,165,19.963636363636365,0.01696969696969697,15.312121212121212,61.412121212121214
2018-09-23,Kobiety,245,17.273469387755103,0.17387755102040817,9.343673469387754,82.07755102040817
2018-09-23,Mężczyźni,667,17.248875562218892,0.17406296851574213,9.373013493253374,82.65067466266866
2018-09-23,Unknown,100,17.49,0.154,8.767999999999999,82.46
2018-09-24,Kobiety,333,16.81981981981982,0.006006006006006006,20.313213213213213,72.84084084084084
2018-09-24,Mężczyźni,1263,16.82264449722882,0.004750593824228029,20.25827395091053,72.61757719714964
2018-09-24,Unknown,62,16.887096774193548,0.004838709677419356,20.720967741935485,72.16129032258064
2018-09-25,Kobiety,99,19.8989898989899,2.1222222222222222,16.144444444444446,95.31313131313131
2018-09-25,Mężczyźni,412,20.08252427184466,2.5359223300970872,16.30509708737864,95.69174757281553
2018-09-25,Unknown,22,20.681818181818183,2.936363636363636,17.995454545454546,95.68181818181819
2018-09-26,Kobiety,302,23.94701986754967,0.5049668874172185,16.691721854304635,89.97682119205298
2018-09-26,Mężczyźni,1196,23.85200668896321,0.5601170568561873,16.527424749163877,90.37959866220736
2018-09-26,Unknown,90,23.57777777777778,0.43000000000000005,15.53888888888889,90.61111111111111
2018-09-27,Kobiety,342,18.383040935672515,0.2128654970760234,12.049415204678365,69.53508771929825
2018-09-27,Mężczyźni,1218,18.34072249589491,0.20985221674876847,12.279064039408867,68.9343185550082
2018-09-27,Unknown,64,18.890625,0.2203125,12.2578125,68.578125
2018-09-28,Kobiety,231,16.952380952380953,0.487012987012987,13.498268398268397,80.59740259740259
2018-09-28,Mężczyźni,944,16.85487288135593,0.4959745762711864,13.464618644067796,80.9385593220339
2018-09-28,Unknown,47,17.48936170212766,0.3702127659574468,10.729787234042554,78.12765957446808
2018-09-29,Kobiety,335,19.98507462686567,0.0,9.861492537313433,65.94029850746269
2018-09-29,Mężczyźni,750,19.590666666666667,0.0,9.725066666666667,67.95066666666666
2018-09-29,Unknown,180,20.25,0.0,9.969999999999999,65.26666666666667
2018-09-30,Kobiety,341,18.275659824046922,0.0,9.234897360703812,69.2991202346041
2018-09-30,Mężczyźni,750,18.125333333333334,0.0,8.937199999999999,70.16533333333334
2018-09-30,Unknown,154,18.428571428571427,0.0,9.21103896103896,68.5
2018-10-01,Kobiety,309,21.04854368932039,0.015210355987055016,9.953398058252427,83.51456310679612
2018-10-01,Mężczyźni,1134,20.64814814814815,0.010229276895943563,10.019223985890651,84.60934744268077
2018-10-01,Unknown,65,21.53846153846154,0.01076923076923077,11.138461538461538,80.86153846153846
2018-10-02,Kobiety,390,21.192307692307693,0.9056410256410257,10.046153846153846,88.36410256410257
2018-10-02,Mężczyźni,1257,21.240254574383453,0.7762927605409705,10.038345266507559,88.31026252983294
2018-10-02,Unknown,55,21.69090909090909,0.40727272727272723,11.13090909090909,86.0909090909091
2018-10-03,Kobiety,375,20.792,0.0005333333333333334,10.650133333333335,77.36266666666667
2018-10-03,Mężczyźni,1270,20.61968503937008,0.00015748031496062994,10.796299212598425,78.66220472440945
2018-10-03,Unknown,72,20.916666666666668,0.0,11.0125,75.86111111111111
